iter	Logloss
0	0.6743397715
1	0.6579792596
2	0.6445916575
3	0.632562088
4	0.6212122805
5	0.610883725
6	0.6012486189
7	0.5940603668
8	0.5865885719
9	0.5799039044
10	0.5741451103
11	0.5696133779
12	0.5656357224
13	0.5616715157
14	0.5579085273
15	0.5543799213
16	0.5508724288
17	0.5476673618
18	0.5447423213
19	0.5420211906
20	0.5400356061
21	0.5379363946
22	0.536378223
23	0.534261982
24	0.532518469
25	0.5309954623
26	0.5296438277
27	0.52843242
28	0.5272025624
29	0.525695776
30	0.5248489582
31	0.5243272385
32	0.5230219468
33	0.5221204079
34	0.5210835299
35	0.5201623963
36	0.5192422961
37	0.5184179337
38	0.5176088841
39	0.5170486172
40	0.5163831496
41	0.5158415548
42	0.5152924559
43	0.5148192385
44	0.5145798361
45	0.5141248421
46	0.5136377978
47	0.5132222405
48	0.5127811936
49	0.5124274239
50	0.5121363783
51	0.5117784898
52	0.5116046834
53	0.5113137904
54	0.5110568099
55	0.5106880612
56	0.5105278241
57	0.5102662811
58	0.5100525485
59	0.509955484
60	0.5096093628
61	0.509435173
62	0.5092490103
63	0.5090719471
64	0.50888232
65	0.5086730425
66	0.508471108
67	0.5082848349
68	0.5080271671
69	0.5077427745
70	0.507545123
71	0.5073885561
72	0.5072514483
73	0.5070710263
74	0.5068449677
75	0.5066917195
76	0.5066084801
77	0.5064794154
78	0.5062874642
79	0.5061395025
80	0.5059496968
81	0.5058389858
82	0.5057463264
83	0.5055734237
84	0.5055682189
85	0.5054539851
86	0.5054027006
87	0.5052960363
88	0.5052342094
89	0.5051430144
90	0.5050114504
91	0.5048617396
92	0.5047582848
93	0.5047402475
94	0.5047334965
95	0.5046243154
96	0.5045077564
97	0.5043569315
98	0.5042885337
99	0.5042010682
100	0.5040733412
101	0.503906519
102	0.5037510514
103	0.5036525224
104	0.5035398716
105	0.5035274619
106	0.5034461894
107	0.5033627581
108	0.5032970908
109	0.5032219547
110	0.5031122935
111	0.5031026061
112	0.5029692644
113	0.502922042
114	0.5028697028
115	0.5027817637
116	0.5027097539
117	0.5025794843
118	0.5024795254
119	0.5023365677
120	0.5022323914
121	0.5021764208
122	0.5020490179
123	0.5019357776
124	0.5017539924
125	0.5016861853
126	0.5016840386
127	0.5016166839
128	0.5015848219
129	0.5014846269
130	0.5014847205
131	0.5014212114
132	0.5013687083
133	0.5012871778
134	0.5012180647
135	0.5011119024
136	0.5010167481
137	0.5009574887
138	0.500891375
139	0.5008209581
140	0.5007565088
141	0.5006983469
142	0.5006322378
143	0.5004727623
144	0.5003766058
145	0.5002803656
146	0.500209398
147	0.5000779919
148	0.4999968926
149	0.4999936815
150	0.4998901716
151	0.4998723487
152	0.4998679729
153	0.4997539325
154	0.4996341266
155	0.4996260168
156	0.499550779
157	0.4993731102
158	0.4992386712
159	0.4991471612
160	0.4991461473
161	0.4990393802
162	0.4990197167
163	0.4989554111
164	0.498870909
165	0.4988703212
166	0.4988439337
167	0.4987489796
168	0.4986427172
169	0.4986425204
170	0.4986077424
171	0.4985258061
172	0.4984517998
173	0.4983558874
174	0.4982954593
175	0.4982834068
176	0.4981709332
177	0.4980424292
178	0.4980335355
179	0.4979173183
180	0.4978985689
181	0.4977661444
182	0.4976862604
183	0.4975987377
184	0.4974991235
185	0.497453971
186	0.4973852379
187	0.4972506878
188	0.4972506785
189	0.4971024057
190	0.497022473
191	0.4969131125
192	0.4968246067
193	0.496770916
