iter	Passed	Remaining
402	11056	16379
403	11082	16349
404	11108	16319
405	11139	16297
406	11170	16275
407	11201	16252
408	11224	16219
409	11251	16191
410	11279	16164
411	11305	16135
412	11334	16110
413	11359	16079
414	11388	16053
415	11415	16026
416	11443	15999
417	11467	15966
418	11493	15936
419	11519	15907
420	11546	15880
421	11572	15849
422	11596	15818
423	11622	15788
424	11648	15760
425	11675	15731
426	11704	15706
427	11729	15676
428	11757	15649
429	11782	15618
430	11811	15593
431	11836	15563
432	11863	15535
433	11890	15507
434	11920	15482
435	11950	15458
436	11983	15439
437	12009	15409
438	12040	15386
439	12071	15363
440	12102	15341
441	12134	15318
442	12163	15294
443	12192	15268
444	12221	15242
445	12250	15217
446	12277	15189
447	12303	15159
448	12334	15136
449	12365	15112
450	12390	15082
451	12420	15058
452	12452	15036
453	12483	15013
454	12508	14982
455	12535	14954
456	12564	14928
457	12591	14900
458	12617	14871
459	12644	14843
460	12672	14816
461	12697	14786
462	12723	14757
463	12750	14729
464	12775	14698
465	12802	14671
466	12827	14640
467	12853	14611
468	12883	14586
469	12907	14554
470	12934	14527
471	12962	14499
472	12989	14472
473	13017	14445
474	13043	14416
475	13069	14387
476	13098	14362
477	13124	14332
478	13147	14300
479	13177	14275
480	13205	14249
481	13234	14222
482	13260	14194
483	13286	14164
484	13315	14139
485	13339	14107
486	13365	14079
487	13391	14050
488	13415	14018
489	13443	13991
490	13470	13963
491	13496	13935
492	13524	13908
493	13550	13880
494	13574	13848
495	13598	13818
496	13623	13788
497	13651	13761
498	13679	13733
499	13703	13703
500	13731	13676
501	13757	13647
502	13783	13618
503	13809	13590
504	13838	13564
505	13864	13535
506	13891	13507
507	13919	13481
508	13945	13452
509	13973	13425
510	13999	13396
511	14027	13369
512	14056	13344
513	14084	13317
514	14113	13291
515	14141	13264
516	14169	13237
517	14198	13211
518	14228	13186
519	14257	13160
520	14284	13133
521	14312	13106
522	14341	13080
523	14369	13053
524	14396	13025
525	14425	12999
526	14451	12970
527	14475	12940
528	14500	12910
529	14525	12881
530	14554	12855
531	14581	12827
532	14608	12799
533	14636	12772
534	14661	12743
535	14687	12714
536	14715	12687
537	14738	12656
538	14766	12629
539	14793	12601
540	14820	12574
541	14849	12547
542	14874	12518
543	14900	12489
544	14927	12462
545	14956	12436
546	14982	12408
547	15008	12379
548	15035	12351
549	15063	12324
550	15090	12296
551	15116	12268
552	15144	12241
553	15174	12215
554	15203	12189
555	15227	12160
556	15256	12133
557	15285	12107
558	15310	12078
559	15337	12051
560	15365	12023
561	15393	11997
562	15422	11970
563	15449	11943
564	15475	11914
565	15503	11887
566	15531	11861
567	15558	11833
568	15585	11805
569	15613	11778
570	15640	11751
571	15668	11723
572	15695	11696
573	15720	11667
574	15746	11638
575	15777	11613
576	15805	11587
577	15834	11560
578	15863	11534
579	15891	11507
580	15918	11479
581	15947	11453
582	15973	11425
583	15999	11397
584	16027	11369
585	16051	11340
586	16079	11313
587	16108	11286
588	16136	11259
589	16162	11231
590	16187	11202
591	16215	11175
592	16242	11148
593	16272	11122
594	16301	11095
595	16327	11067
596	16354	11040
597	16380	11011
598	16404	10981
599	16432	10955
600	16460	10927
601	16480	10895
602	16508	10869
603	16534	10840
604	16561	10813
605	16588	10784
606	16613	10756
607	16639	10728
608	16666	10700
609	16693	10672
610	16720	10645
611	16748	10618
612	16772	10589
613	16798	10560
614	16819	10529
615	16843	10500
616	16872	10473
617	16900	10446
618	16931	10421
619	16962	10396
620	16994	10372
621	17021	10344
622	17050	10318
623	17080	10292
624	17107	10264
625	17134	10236
626	17162	10210
627	17187	10180
628	17213	10152
629	17243	10126
630	17272	10100
631	17300	10073
632	17325	10044
633	17352	10017
634	17377	9988
635	17404	9960
636	17432	9934
637	17460	9907
638	17487	9879
639	17511	9850
640	17539	9823
641	17566	9795
642	17606	9775
643	17637	9750
644	17665	9723
645	17695	9696
646	17720	9668
647	17749	9641
648	17777	9614
649	17804	9587
650	17832	9559
651	17861	9533
652	17887	9505
653	17916	9478
654	17939	9448
655	17964	9420
656	17994	9394
657	18022	9367
658	18050	9340
659	18078	9313
660	18105	9285
661	18134	9259
662	18162	9232
663	18189	9204
664	18217	9177
665	18240	9147
666	18268	9120
667	18296	9093
668	18327	9067
669	18356	9041
670	18381	9012
671	18407	8984
672	18437	8958
673	18464	8930
674	18488	8901
675	18534	8883
676	18562	8856
677	18587	8827
678	18614	8800
679	18640	8772
680	18667	8744
681	18692	8715
682	18719	8688
683	18748	8661
684	18776	8634
685	18802	8606
